"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 17 22:27:56 UTC 2026","Wed Jun 17 22:27:56 UTC 2026","229","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturnErrorForInvalidBreed","404 para raça inexistente (images)",""
"passed","Wed Jun 17 22:27:57 UTC 2026","Wed Jun 17 22:27:57 UTC 2026","223","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturn404ForInvalidSubBreedImages","404 em imagens com sub-raça inexistente",""
"passed","Wed Jun 17 22:27:55 UTC 2026","Wed Jun 17 22:27:55 UTC 2026","239","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","breedRandom_returnsNImages","N URLs aleatórias por raça (N=5)",""
"passed","Wed Jun 17 22:27:57 UTC 2026","Wed Jun 17 22:27:57 UTC 2026","222","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturn404ForInvalidSubBreedRandom","404 no random de sub-raça inexistente",""
"passed","Wed Jun 17 22:27:55 UTC 2026","Wed Jun 17 22:27:55 UTC 2026","244","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","subBreedImages_returnsList","Lista de imagens da sub-raça afghan",""
"passed","Wed Jun 17 22:27:53 UTC 2026","Wed Jun 17 22:27:53 UTC 2026","288","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","randomGlobal_returnsNImages","Random global: N=3",""
"passed","Wed Jun 17 22:27:54 UTC 2026","Wed Jun 17 22:27:54 UTC 2026","242","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","subBreedList_emptyForBreedWithoutSubs","Beagle: lista de sub-raças vazia",""
"passed","Wed Jun 17 22:27:56 UTC 2026","Wed Jun 17 22:27:57 UTC 2026","215","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldMatchRandomPayloadShape","Random: status e message string",""
"passed","Wed Jun 17 22:27:55 UTC 2026","Wed Jun 17 22:27:55 UTC 2026","250","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","breedRandom_returnsSingleUrl","Uma URL aleatória por raça",""
"passed","Wed Jun 17 22:27:53 UTC 2026","Wed Jun 17 22:27:54 UTC 2026","274","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","randomGlobal_fiftyOneCappedAtFifty","Random global: pedir 51 → no máximo 50 URLs",""
"passed","Wed Jun 17 22:27:56 UTC 2026","Wed Jun 17 22:27:56 UTC 2026","247","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturn404ForInvalidBreedList","404 na lista de sub-raças com raça inválida",""
"passed","Wed Jun 17 22:27:54 UTC 2026","Wed Jun 17 22:27:54 UTC 2026","253","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","subBreedRandom_returnsOneUrl","Uma imagem aleatória (afghan)",""
"passed","Wed Jun 17 22:27:50 UTC 2026","Wed Jun 17 22:27:52 UTC 2026","2295","","tests.DogApiPositiveTests","","tests.DogApiPositiveTests","shouldReturnBreedsListWithExpectedStructure","Lista completa de raças",""
"passed","Wed Jun 17 22:27:57 UTC 2026","Wed Jun 17 22:27:57 UTC 2026","224","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturn404ForInvalidBreedRandomN","404 no random N com raça inexistente",""
"passed","Wed Jun 17 22:27:56 UTC 2026","Wed Jun 17 22:27:56 UTC 2026","217","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturn404ForInvalidSubBreedRandomN","404 no random N com sub-raça inexistente",""
"passed","Wed Jun 17 22:27:54 UTC 2026","Wed Jun 17 22:27:55 UTC 2026","227","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","subBreedList_houndHasExpectedSub","Sub-raças do hound incluem afghan",""
"passed","Wed Jun 17 22:27:55 UTC 2026","Wed Jun 17 22:27:56 UTC 2026","231","","tests.DogApiNegativeTests","","tests.DogApiNegativeTests","shouldReturn404ForInvalidBreedRandom","404 no random por raça inexistente",""
"passed","Wed Jun 17 22:27:52 UTC 2026","Wed Jun 17 22:27:53 UTC 2026","499","","tests.DogApiPositiveTests","","tests.DogApiPositiveTests","shouldReturnImagesForExistingBreed","Imagens de uma raça válida",""
"passed","Wed Jun 17 22:27:54 UTC 2026","Wed Jun 17 22:27:54 UTC 2026","234","","tests.DogApiRegressionTests","","tests.DogApiRegressionTests","subBreedRandom_returnsNUrls","Duas imagens aleatórias (afghan)",""
"passed","Wed Jun 17 22:27:53 UTC 2026","Wed Jun 17 22:27:53 UTC 2026","250","","tests.DogApiPositiveTests","","tests.DogApiPositiveTests","shouldReturnValidRandomImage","Uma imagem aleatória",""
