"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Dog API","Regressao documentada","BRD-02 GET /breed/{breed}/images/random","0","0","1","0","0"
"Dog API","Regressao documentada","SUB-03 random sub-raca","0","0","1","0","0"
"Dog API","Regressao documentada","SUB-04 random N sub-raca","0","0","1","0","0"
"Dog API","404 / payload","404 random raca invalida","0","0","1","0","0"
"Dog API","404 / payload","Raça inválida em /breed/{breed}/images","0","0","1","0","0"
"Dog API","404 / payload","404 sub-raca invalida /images","0","0","1","0","0"
"Dog API","200 / contrato","GET /breed/{breed}/images","0","0","1","0","0"
"Dog API","Regressao documentada","SUB-02 GET /breed/{breed}/{sub}/images","0","0","1","0","0"
"Dog API","Regressao documentada","RND-02 limite 50","0","0","1","0","0"
"Dog API","Regressao documentada","RND-02 GET /breeds/image/random/{n}","0","0","1","0","0"
"Dog API","404 / payload","404 sub-raca invalida /random/N","0","0","1","0","0"
"Dog API","404 / payload","404 sub-raca invalida /random","0","0","1","0","0"
"Dog API","200 / contrato","GET /breeds/image/random","0","0","1","0","0"
"Dog API","Regressao documentada","SUB-01 GET /breed/{breed}/list","0","0","1","0","0"
"Dog API","Regressao documentada","SUB-01 raca sem sub-racas","0","0","1","0","0"
"Dog API","404 / payload","404 GET /breed/{breed}/list","0","0","1","0","0"
"Dog API","404 / payload","404 random N raca invalida","0","0","1","0","0"
"Dog API","404 / payload","Campos do JSON em /breeds/image/random","0","0","1","0","0"
"Dog API","Regressao documentada","BRD-03 GET /breed/{breed}/images/random/{n}","0","0","1","0","0"
"Dog API","200 / contrato","GET /breeds/list/all","0","0","1","0","0"
